word_dutch,translate_word_english,familiar_mean,familiar_sd,familiar_n,category,goodness_mean,goodness_sd,goodness_n,typicality_mean,typicality_sd,typicality_n,dont_know_responses,n_know_item,imagine_mean,imagine_sd,log(lemmaFreq),age of acquisition,% known
aalbes,red currant,2.321428571,0.772373515,28,fruit,11,5.656854249,27,11.75,5.146915653,28,3,32,3.75,1.883716299,1.204119983,10.94444444,90
aambeeld,anvil,2.142857143,0.84827868,28,tools,24,,,11.14285714,4.248871621,28,3,26,4.423076923,1.331858158,1.763427994,11.20833333,90.57471264
aap,monkey,3.285714286,1.013141168,28,mammals,18.5,2.659713156,28,17.92857143,2.595274501,28,1,33,6.454545455,1.092328622,2.931966115,4.416666667,99.01477833
aardappel,potato,4.464285714,0.63724772,28,vegetables,10.03571429,6.500610472,28,10.71428571,6.317859124,28,0,30,6.4,0.968468396,3.068927612,4.695652174,100
aardbei,strawberry,4,0.666666667,28,fruit,18.10714286,2.114137346,28,18.25,1.993043457,28,0,32,6.09375,0.962502618,2.307496038,5.391304348,100
abrikoos,apricot,3.178571429,0.669636243,28,fruit,15.78571429,3.900210278,28,16,3.138765976,28,0,28,5.285714286,1.781741613,1.973127854,7.086956522,100
accordeon,accordion,2.714285714,0.76289618,28,musical instruments,14.51851852,5.033505969,27,15.89285714,4.039978784,28,0,31,6.064516129,1.20928309,1.672097858,7.5,97.5
acteur,actor,3.892857143,0.737326789,28,professions,10.89285714,4.893981835,28,12.96428571,5.507450461,28,0,32,5.03125,1.804731684,2.881384657,8.956521739,100
adder,viper,2.678571429,0.772373515,28,reptiles,13.32142857,5.34064479,28,13.55555556,4.388212649,27,0,35,5.142857143,1.665265517,2.10720997,8.875,94.93670886
advocaat,lawyer,3.357142857,0.951189731,28,professions,16.60714286,3.54170168,28,16.78571429,3.794314878,28,0,31,5.096774194,1.813924635,3.124504225,9.041666667,100
ajuin,onions,4.107142857,0.685256682,28,vegetables,11.14814815,6.030076564,27,12.89285714,4.833059653,28,0,32,6.4375,1.134147399,1.079181246,6.5,100
alligator,alligator,2.464285714,0.83808171,28,reptiles,15.82142857,4.88424202,28,16.42857143,3.804758925,28,0,32,5.625,1.385407824,0.903089987,8,97.6127321
ananas,pineapple,3.785714286,0.738223235,28,fruit,16.35714286,3.379834378,28,17.35714286,2.765050207,28,0,34,6.058823529,1.301308816,1.991226076,6.625,100
ansjovis,anchovy,2.75,0.844371342,28,fish,14,5.925462945,28,13.14285714,4.904376622,28,0,31,4.129032258,1.727077213,1.908485019,10.69565217,96.76616915
apotheker,pharmacist,3.5,0.745355992,28,professions,14.85714286,4.006608298,28,16.89285714,3.685198479,28,0,34,5.794117647,1.665685986,2.536558443,7.695652174,100
appel,apple,4.607142857,0.497347461,28,fruit,19.42857143,1.259881577,28,19.03571429,1.400585667,28,0,34,6.735294118,0.618346942,2.995196292,4,100
archeoloog,archaeologist,2.464285714,0.792658109,28,professions,11.92857143,4.814550257,28,12.89285714,5.493021065,28,0,30,4.433333333,1.813423764,2.222716471,11.29166667,100
architect,architect,3.178571429,0.904866326,28,professions,14.75,4.351457823,28,16.35714286,4.075348526,28,0,34,4.617647059,2.015315689,2.73479983,10.20833333,100
