anew_id,anew,translate_word_english,word_italian,pos,letters,frequency_colfis,frequency_log_colfis,frequecy_repub,log_frequency_repub,orthographic_neighbors,frequency_mean_orthographic_neighbors,N_familiar_imagine_concrete,familiar_mean,familiar_sd,imagine_mean,imagine_sd,concrete_mean,concrete_sd,N_valence_arousal_dominance,valence_mean,valence_sd,arousal_mean,arousal_sd,dominance_mean,dominance_sd,N_valence_arousal_dominance_female,valence_mean_female,valence_sd_female,arousal_mean_female,arousal_sd_female,dominance_mean_female,dominance_sd_female,N_valence_arousal_dominance_male,valence_mean_male,valence_sd_male,arousal_mean_male,arousal_sd_male,dominance_mean_male,dominance_sd_male,df_compare_gender,t_valence,p_valence,t_arousal,p_arousal,t_dominance,p_dominance
717,1,dazzle,abbaglio,s,8,13,2.64,577,6.36,1,0.313357,20,5.50,1.91,6.40,2.41,4.25,2.61,33,3.94,1.77,5.67,1.55,4.30,1.63,23,3.83,1.67,5.70,1.36,4.30,1.79,10,4.20,2.04,5.60,2.01,4.30,1.25,31,0.55,0.584,0.16,0.874,0.01,0.995
722,1,derelict,abbandonato,a,11,45,3.83,5666,8.64,4,11.12419,20,6.50,1.99,6.65,1.76,5.10,2.65,35,2.00,1.50,7.09,1.85,3.37,1.88,25,2.08,1.68,6.80,2.02,3.24,2.01,10,1.80,0.92,7.80,1.14,3.70,1.57,33,0.49,0.624,1.47,0.152,0.65,0.521
624,1,abundance,abbondanza,s,10,32,3.50,2257,7.72,1,0.313357,20,5.90,1.62,6.80,1.54,4.75,2.02,33,6.82,2.08,5.09,1.99,5.42,1.94,23,6.35,2.21,5.35,1.61,5.13,2.10,10,7.90,1.29,4.50,2.68,6.10,1.37,31,2.06,0.047,1.13,0.267,1.34,0.191
218,1,hug,abbraccio,s,9,47,3.87,4902,8.50,2,5.170395,20,7.75,1.92,8.35,1.50,7.70,1.75,33,7.70,1.79,5.70,2.74,5.73,2.17,23,7.48,2.06,5.74,2.83,5.65,2.19,10,8.20,0.79,5.60,2.67,5.90,2.23,31,1.06,0.295,0.13,0.896,0.30,0.768
-,0,fir,abete,s,5,17,2.89,732,6.60,5,16.9212934,20,7.75,1.59,8.30,0.98,8.05,1.32,35,6.17,1.29,4.51,1.90,5.34,1.43,24,6.08,1.35,4.67,2.01,5.54,1.53,11,6.36,1.21,4.18,1.66,4.91,1.14,33,0.59,0.560,0.70,0.492,1.22,0.231
813,1,inhabitant,abitante,s,8,270,5.60,19822,9.89,1,77.3993,20,7.50,1.54,7.00,1.92,6.60,1.93,33,5.67,1.43,4.97,2.11,5.67,1.41,23,5.70,1.43,5.57,1.53,5.48,1.16,10,5.60,1.51,3.60,2.67,6.10,1.85,31,0.17,0.863,2.68,0.012,1.17,0.249
563,1,house,abitazione,s,10,160,5.08,12537,9.44,2,11.59422,20,8.15,1.27,8.40,1.14,8.35,1.14,35,6.46,1.48,4.31,1.98,5.54,1.44,24,6.54,1.41,4.79,1.82,5.58,1.53,11,6.27,1.68,3.27,2.00,5.45,1.29,33,0.49,0.625,2.22,0.033,0.24,0.810
133,1,dress,abito,s,5,315,5.76,13732,9.53,7,14.145861,20,8.20,1.32,8.35,1.04,8.60,0.88,33,7.27,1.64,5.58,2.25,6.03,1.70,23,7.48,1.59,6.00,2.45,6.22,1.86,10,6.80,1.75,4.60,1.35,5.60,1.26,31,1.09,0.283,1.69,0.101,0.95,0.347
775,1,habit,abitudini,s,9,195,5.28,10610,9.27,1,33.5292,20,6.75,1.80,5.80,2.50,4.25,2.88,33,4.91,2.14,4.88,2.03,4.97,1.69,23,4.61,2.21,5.04,1.85,4.74,1.66,10,5.60,1.90,4.50,2.46,5.50,1.72,31,1.23,0.227,0.70,0.488,1.20,0.239
622,1,abortion,aborto,s,6,79,4.38,8688,9.07,1,3.76029,20,4.55,2.24,6.20,2.35,5.75,2.24,33,2.06,1.62,6.58,2.00,4.27,2.28,23,1.74,1.25,6.61,1.95,4.04,2.40,10,2.80,2.15,6.50,2.22,4.80,1.99,31,1.79,0.084,0.14,0.889,0.87,0.390
1,1,abuse,abuso,s,5,71,4.28,10206,9.23,2,5.170396,20,4.70,2.03,6.05,2.35,5.80,2.59,34,1.74,1.08,6.12,2.16,4.44,1.76,24,1.79,1.18,6.71,1.90,4.54,1.79,10,1.60,0.84,4.70,2.16,4.20,1.75,32,0.22,0.828,2.54,0.016,0.21,0.834
625,1,acceptance,accettazione,s,12,24,3.22,3154,8.06,1,0.313357,20,6.20,1.74,5.45,2.46,4.40,2.41,33,5.79,2.19,5.06,2.30,4.67,1.93,23,6.00,2.39,5.39,2.43,4.96,2.01,10,5.30,1.64,4.30,1.89,4.00,1.63,31,0.84,0.407,1.26,0.216,1.32,0.196
88,1,cozy,accogliente,a,11,21,3.09,629,6.45,2,0.940072,20,7.15,1.63,6.00,2.18,3.90,2.47,34,8.03,1.60,4.97,2.98,6.74,1.85,24,8.00,1.74,5.25,3.10,6.58,1.84,10,8.10,1.29,4.30,2.71,7.10,1.91,32,0.16,0.871,0.84,0.405,0.74,0.466
