word_english,length,familiar_mean,familiar_n,aoa_subjective_mean,aoa_subjective_n,transparency_mean,transparency_n,lmd_mean,lmd_n,imagine_mean,imagine_n,ser_mean,ser_n,familiar_z,aoa_zscore,transparency_z,lmd_zscore,imagine_zscore,ser_zscore
aboveground,11,5.86,14,3.93,15,6.2,15,4,15,3.9,21,2.47,15,-0.03,-0.56,1.39,-0.75,-0.3,-0.44
airbase,7,5.21,14,5.47,15,4.27,15,5.87,15,3.81,21,2.33,15,-0.61,0.75,-0.22,0.56,-0.36,-0.56
airborne,8,6.5,14,5.47,15,3.86,14,3.13,15,4.1,21,3.93,15,0.55,0.75,-0.56,-1.35,-0.17,0.97
aircraft,8,6.86,14,3.93,15,4.53,15,4.27,15,5.86,21,3.67,15,0.88,-0.56,0,-0.56,0.98,0.72
airfield,8,4.36,14,5.13,15,4.33,15,5.71,14,3.86,21,2.53,15,-1.39,0.46,-0.16,0.45,-0.33,-0.37
airflow,7,6.21,14,4.53,15,6,13,4.87,15,3.86,21,3.8,15,0.29,-0.05,1.23,-0.14,-0.33,0.85
airlift,7,4.86,14,5.8,15,5.33,15,5.53,15,4.29,21,2.73,15,-0.94,1.03,0.67,0.32,-0.05,-0.18
airline,7,6.71,14,4,15,3.07,14,3.33,15,4.71,21,3.6,15,0.75,-0.5,-1.22,-1.21,0.23,0.65
airmail,7,5,14,5.6,15,5.4,15,6.71,14,3.95,21,1.87,15,-0.81,0.86,0.73,1.15,-0.27,-1.01
airplane,8,6.93,14,1.93,15,5.73,15,5.6,15,6.76,21,4.2,15,0.94,-2.27,1,0.37,1.57,1.23
airport,7,6.93,14,2.6,15,4.21,14,5.27,15,6.33,21,4.8,15,0.94,-1.7,-0.26,0.14,1.29,1.81
airsick,7,3.43,14,5.07,14,4.42,12,6.47,15,3.71,21,3.93,15,-2.24,0.41,-0.09,0.98,-0.42,0.97
airspace,8,4.21,14,5.33,15,5.54,13,4.86,14,3.9,21,2.87,15,-1.52,0.64,0.84,-0.15,-0.3,-0.05
airstrip,8,4.71,14,5.13,15,3.62,13,5.6,15,4.57,21,3.67,15,-1.07,0.46,-0.76,0.37,0.14,0.72
airtight,8,6.5,14,5.13,15,5,15,5.07,15,3.9,21,2.53,15,0.55,0.46,0.39,0,-0.3,-0.37
alongside,9,6.43,14,4.53,15,5.57,14,4.67,15,4.1,21,2.6,15,0.49,-0.05,0.87,-0.28,-0.17,-0.31
anchorman,9,6.57,14,5.8,15,3.27,15,6.4,15,5.05,21,2.47,15,0.62,1.03,-1.05,0.93,0.45,-0.44
awesome,7,7,14,3.2,15,3.21,14,2.53,15,2.19,21,2.57,14,1.01,-1.19,-1.1,-1.77,-1.42,-0.34
awestruck,9,5.93,14,6.2,15,5,15,3.27,15,3.05,21,2.93,15,0.04,1.38,0.39,-1.26,-0.86,0.01
backache,8,6.36,14,3.33,15,6.43,14,5.2,15,4.14,21,5.2,15,0.42,-1.07,1.58,0.09,-0.14,2.19
backbone,8,6.29,14,3.4,15,6.29,14,4.73,15,4.9,21,3.4,15,0.36,-1.02,1.46,-0.24,0.36,0.46
backdrop,8,6.21,14,5,15,3.46,13,3.13,15,4.38,21,2.33,15,0.29,0.35,-0.89,-1.35,0.01,-0.56
backfire,8,6.5,14,4.6,15,3.64,14,4.36,14,3.71,21,2.73,15,0.55,0.01,-0.74,-0.5,-0.42,-0.18
background,10,6.64,14,3.47,15,3.5,14,3.6,15,3.81,21,2.27,15,0.68,-0.96,-0.86,-1.03,-0.36,-0.63
backhand,8,6.43,14,4.87,15,4.86,14,5.07,15,4.9,21,3.47,15,0.49,0.24,0.27,0,0.36,0.53
backlash,8,6,14,5.67,15,3.71,14,6,15,2.52,21,3.07,15,0.1,0.92,-0.68,0.65,-1.2,0.14
backless,8,5.5,14,5.6,15,3.64,14,3.07,15,4.29,21,3.67,15,-0.35,0.86,-0.74,-1.4,-0.05,0.72
backlog,7,3.57,14,6.47,15,2.91,11,4.8,15,1.95,21,1.73,15,-2.11,1.6,-1.35,-0.19,-1.57,-1.14
backpack,8,7,14,2.2,15,6,14,5.33,15,6.81,21,4.6,15,1.01,-2.04,1.23,0.18,1.6,1.62
backseat,8,6.57,14,2.6,15,6.07,14,6.4,15,6.43,21,3.6,15,0.62,-1.7,1.28,0.93,1.35,0.65
backside,8,6.79,14,3.4,15,5.13,15,3.8,15,4.81,21,2.4,15,0.81,-1.02,0.5,-0.89,0.29,-0.5
backslide,9,4.29,14,5.8,15,3.33,15,4.75,12,2.33,21,1.6,15,-1.46,1.03,-1,-0.22,-1.32,-1.27
backstage,9,6.71,14,4.27,15,5.71,14,5.53,15,5.86,21,4.2,15,0.75,-0.28,0.99,0.32,0.98,1.23
backstroke,10,6.71,14,3.47,15,4.93,15,6.33,15,6.24,21,3.73,15,0.75,-0.96,0.34,0.88,1.23,0.78
backtrack,9,6.21,14,4.4,15,5.07,14,3.67,15,3.43,21,2.13,15,0.29,-0.16,0.45,-0.98,-0.61,-0.76
backup,6,6.79,14,4.07,15,3.73,15,4.2,15,3.29,21,2.67,15,0.81,-0.45,-0.66,-0.61,-0.7,-0.24
backwash,8,6.43,14,4.6,15,3.5,14,5.2,15,4.86,21,3.93,15,0.49,0.01,-0.86,0.09,0.32,0.97
backwater,9,4.71,14,5.6,15,3.27,11,5.92,12,2.52,21,2.8,15,-1.07,0.86,-1.05,0.59,-1.2,-0.12
backyard,8,7,14,2.07,15,5.8,15,5.67,15,6.14,21,3.33,15,1.01,-2.16,1.06,0.42,1.17,0.4
bagpipe,7,6.64,14,4.4,15,4.46,13,5.93,15,6.52,21,4.87,15,0.68,-0.16,-0.06,0.6,1.41,1.87
banknote,8,5.14,14,5.87,15,5,15,5.4,15,5.1,21,2.07,15,-0.68,1.09,0.39,0.23,0.48,-0.82
bankroll,8,4.86,14,6.6,15,3.53,15,3.86,14,3.38,21,1.87,15,-0.94,1.72,-0.83,-0.85,-0.64,-1.01
basketball,10,7,14,2.33,15,5.64,14,6.27,15,6.95,21,4.73,15,1.01,-1.93,0.93,0.84,1.69,1.74
batman,6,6.93,14,2.6,15,4.86,14,5.67,15,6.86,21,4.53,15,0.94,-1.7,0.27,0.42,1.63,1.55
bearskin,8,5,14,4.6,15,6.2,15,5.13,15,5.14,21,3.07,15,-0.81,0.01,1.39,0.04,0.51,0.14
beefsteak,9,5.5,14,5.53,15,5.8,15,5.36,14,5.9,21,3.07,15,-0.35,0.81,1.06,0.2,1.01,0.14
beehive,7,6.86,14,3,15,5.6,15,5.87,15,6.43,21,3.6,15,0.88,-1.36,0.89,0.56,1.35,0.65
beeline,7,4.79,14,5.27,15,3.21,14,6.93,14,2.57,21,1.4,15,-1,0.58,-1.1,1.3,-1.17,-1.46
beetroot,8,4.14,14,6.27,15,5.36,11,4.73,15,3.38,21,2.67,15,-1.59,1.43,0.69,-0.24,-0.64,-0.24
beforehand,10,6.71,14,4.67,15,3.6,15,2.27,15,1.43,21,1.07,15,0.75,0.07,-0.78,-1.96,-1.92,-1.78
bellboy,7,6.14,14,5.47,15,3.62,13,7,15,5.05,21,2.93,15,0.23,0.75,-0.76,1.35,0.45,0.01
bellhop,7,5.64,14,5.33,15,2.5,12,4.07,14,3.81,21,2.8,15,-0.22,0.64,-1.69,-0.7,-0.36,-0.12
bittersweet,11,6.64,14,5,15,4.93,14,4.6,15,3.62,21,4.4,15,0.68,0.35,0.33,-0.33,-0.48,1.42
