word_spanish,concrete_mean,familiar_mean,similar_word,similarity_mean,similarity_sd,concrete_mean_similar_word,familiar_mean_similar_word,less_similar_word,less_similarity_mean,less_similarity_sd,concrete_mean_less_similar_word,familiar_mean_less_similar_word,,,,,,,,,,,,,
abuela,6.29,6.73,madre,5.4,2.13,6.21,6.95,suegro,3.87,2.27,6.5,6.2,,,,,,,,,,,,,
aguacate,6.65,5.35,papaya,6.87,1.5,6.6,4.3,sandía,4.48,2.28,6.9,6.3,,,,,,,,,,,,,
ajo,5.77,5.61,apio,5.47,2.36,6.5,5.05,alcachofa,4.21,1.91,6.45,6.15,,,,,,,,,,,,,
alambre,6.05,5.05,filamento,5.83,2.17,4.1,3.75,caucho,2.6,1.85,5.65,4.8,,,,,,,,,,,,,
albóndiga,5.7,6.45,buñuelo,5.14,2.03,6,5.6,tortilla,3.7,2.29,5.84,6.18,,,,,,,,,,,,,
albornoz,6.5,6.05,toalla,6.9,1.61,6.4,6.6,mantilla,3.03,1.8,5.65,3.65,,,,,,,,,,,,,
alcantarilla,6.35,5.55,desagüe,6.33,2.23,5.3,5.65,pozo,4.07,1.84,6,5.27,,,,,,,,,,,,,
alfarero,4.88,2.8,artesano,5.79,2.33,4.36,3.96,ingeniero,3.3,1.99,5.4,6.25,,,,,,,,,,,,,
alfombra,6.2,6.22,esterilla,7.13,1.83,6.2,5.5,parqué,4.43,2.01,5.4,5.75,,,,,,,,,,,,,
algodón,6.09,5.57,lino,5.3,1.86,5.28,4.05,terciopelo,4.33,2.32,5.77,5.23,,,,,,,,,,,,,
almacén,4.9,5.91,depósito,5.53,2.54,3.65,4.86,granero,4.57,2.51,6.08,3.76,,,,,,,,,,,,,
alpargata,6.45,4.45,chancleta,6.31,1.95,6.3,6.6,bolso,3.03,2.16,5.35,6.31,,,,,,,,,,,,,
amapola,6.65,5.25,tulipán,5.9,2.2,6.35,5.6,seta,2.8,1.9,5.8,6.05,,,,,,,,,,,,,
apeadero,5.11,2.8,andén,5.43,2.2,5.88,4.9,aeropuerto,2.79,1.88,6.12,5.72,,,,,,,,,,,,,
arena,5.79,5.52,tierra,7.9,1.42,5.68,6.36,mármol,2.83,1.98,6.38,5.37,,,,,,,,,,,,,
arroyo,5.71,4.6,pantano,5.47,2.27,5.71,5,estanque,4.73,2.07,5.67,5.38,,,,,,,,,,,,,
astillero,5.55,3.8,puerto,5.3,2.09,5.7,6.2,aduana,2.07,1.57,5.99,3.98,,,,,,,,,,,,,
atún,6.15,5.93,lubina,6.55,1.84,6.1,4.9,foca,3.9,2.32,6.14,5.85,,,,,,,,,,,,,
avena,6.15,5.45,mazorca,5.71,2.48,5.75,4.35,nabo,2.77,1.65,5.8,4.4,,,,,,,,,,,,,
azafata,6.05,5.85,camarera,5.4,2.31,5.89,6.23,peluquera,3.34,1.86,6.3,6.45,,,,,,,,,,,,,
azulejo,5.65,5.2,mosaico,6.77,1.68,5.51,4.88,zócalo,4.27,2.2,4.78,3.55,,,,,,,,,,,,,
barro,5.79,6.1,tierra,7.13,2.08,5.68,6.36,césped,4.3,1.97,6.07,5.62,,,,,,,,,,,,,
bebé,6.26,6.1,infante,7.07,1.68,4.42,3.43,joven,3.9,2.01,4.92,6.69,,,,,,,,,,,,,
bellota,6.15,5.6,castaña,5.87,1.59,5.65,6.1,pistacho,4.38,1.93,6.6,6.05,,,,,,,,,,,,,
berberecho,6.5,5.4,almeja,6.73,1.87,5.75,5.9,rape,4.36,1.95,6.4,5.4,,,,,,,,,,,,,
bocadillo,5.56,6.55,sándwich,6.8,1.86,5.35,6.05,canelones,3.8,1.83,5.75,6.35,,,,,,,,,,,,,
bodega,5.74,6.04,sótano,5.28,2.43,6.49,5.74,trastero,4.5,2.11,5.5,6.05,,,,,,,,,,,,,
botella,6.03,6.42,jarra,6.77,1.36,6.26,5.87,plato,4.67,2.01,5.85,6.8,,,,,,,,,,,,,
buhardilla,5.62,3.98,ático,6.82,2.09,5.7,6,terraza,3.41,2.32,6.03,6.13,,,,,,,,,,,,,
buitre,5.8,5.6,cuervo,6.1,1.81,6.5,5.15,canario,4.5,1.81,5.78,6.61,,,,,,,,,,,,,
burro,4.94,6.24,caballo,6.87,1.22,6.23,5.6,oso,4.7,2.26,6.38,5.52,,,,,,,,,,,,,
cadera,6.29,6.48,costilla,5.93,1.61,6.3,6.2,vértebras,4,2.1,5.95,4.8,,,,,,,,,,,,,
calabacín,6.85,5.55,pepino,6.53,1.87,6.15,6.3,limón,4.27,2.07,6.5,6.5,,,,,,,,,,,,,
calcetines,6.51,6.34,medias,7,1.51,4.67,6.07,bañador,4.5,1.78,6.26,6.51,,,,,,,,,,,,,
caldo,4.89,5.65,infusión,5.17,1.75,5.25,6,mayonesa,2.55,1.76,6.35,6.35,,,,,,,,,,,,,
calle,5.05,6.85,camino,7.3,1.7,4.75,5.97,túnel,3.97,2.09,6.03,6.5,,,,,,,,,,,,,
cama,6.12,6.52,sofá,6.4,1.94,6.71,6.53,mesa,4.33,1.99,6.4,6.58,,,,,,,,,,,,,
camiseta,6.37,6.6,blusa,7.07,1.56,6.4,5.68,delantal,3.63,1.87,6.01,6.06,,,,,,,,,,,,,
campesino,6.33,6.01,ganadero,5.63,1.69,4.75,4.2,vendedor,2.93,1.87,4.54,6.41,,,,,,,,,,,,,
cangrejo,6.15,5.85,langostino,5.77,1.91,6.45,5.6,salmón,3.89,1.99,6,6.4,,,,,,,,,,,,,
cárcel,5.83,5.67,reformatorio,5.47,1.72,6.15,4.15,asilo,3.67,2.17,5.96,4.54,,,,,,,,,,,,,
carpintero,6.47,5.01,albañil,5.53,2.53,6.39,4.81,profesor,2.53,1.72,5.47,"68,843",cencerro,5.25,3.95,campanilla,5.93,2.68,5.03,4.34,silbato,2.5,2.06,5.55,5.85
cepillo,5.5,6.87,escobilla,5.17,2.41,5.95,5.8,pincel,4.2,1.52,6.35,5.3,,,,,,,,,,,,,
cerilla,6.28,5.87,mechero,6.4,2.21,6.65,6.44,vela,4.87,2.24,5.1,5.82,,,,,,,,,,,,,
chaleco,5.99,6.16,cazadora,5.77,1.83,6.02,6.01,gabardina,4.96,1.69,6.07,5.7,,,,,,,,,,,,,
charco,5.44,5.99,laguna,5.83,2.02,4.73,4.04,océano,3.6,2.16,5.5,5.4,,,,,,,,,,,,,
chica,5.76,6.53,niña,7.57,1.5,6.25,6.9,viuda,3,1.93,5.96,5.44,,,,,,,,,,,,,
chichón,5.95,4.45,bulto,5.83,2.18,3.91,4.8,joroba,3.23,2.21,4.9,4.95,,,,,,,,,,,,,
codorniz,6.7,5.1,perdiz,6.4,1.99,6.5,4.85,liebre,3.7,2.31,6.2,3.68,,,,,,,,,,,,,
colchón,6.21,6.22,cojín,5.37,2.04,6.02,6.27,cortinas,4.17,1.95,6.2,5.66,,,,,,,,,,,,,
colmena,5.4,4.5,hormiguero,5.75,2.24,5.89,5.22,acuario,2.87,1.96,5.97,5.77,,,,,,,,,,,,,
comadrona,6.45,6.45,ginecóloga,6.5,1.7,6.25,5.9,maestra,3.46,2.16,5.85,5.98,,,,,,,,,,,,,
comedor,6.23,6.12,restaurante,6.07,1.76,6.03,6.19,despacho,3.7,1.97,5.42,6.14,,,,,,,,,,,,,
concha,6.1,4.95,cáscara,5.48,2.28,5.89,5.44,escamas,2.83,1.29,5.48,3.82,,,,,,,,,,,,,
