word_indonesian,translate_word_english,valence_n_male,valence_mean_male,valence_sd_male,arousal_n_male,arousal_mean_male,arousal_sd_male,dominance_n_male,dominance_mean_male,dominance_sd_male,predictability_n_male,predictability_mean_male,prediability_sd_male,concrete_n_male,concrete_mean_male,concrete_sd_male,frequency_n_male,frequency_mean_male,frequency_sd_male,valence_n_female,valence_mean_female,valence_sd_female,arousal_n_female,arousal_mean_female,arousal_sd_female,dominance_n_female,dominance_mean_female,dominance_sd_female,predictability_n_female,predictability_mean_female,prediability_sd_female,concrete_n_female,concrete_mean_female,concrete_sd_female,frequency_n_female,frequency_mean_female,frequency_sd_female,valence_n_all,valence_mean_all,valence_sd_all,arousal_n_all,arousal_mean_all,arousal_sd_all,dominance_n_all,dominance_mean_all,dominance_sd_all,predictability_n_all,predictability_mean_all,prediability_sd_all,concrete_n_all,concrete_mean_all,concrete_sd_all,frequency_n_all,frequency_mean_all,frequency_sd_all
abang,elder brother ,26,6.076923077,1.787133502,38,4.736842105,2.321278894,36,5.5,2.035400978,32,6.3125,2.161801817,34,3.382352941,1.741032537,28,5.607142857,2.484608706,30,6.833333333,1.984132458,31,4.548387097,2.790922305,46,5.739130435,2.174956271,36,7.361111111,1.973434682,36,2.888888889,2.252335648,33,7,2.150581317,56,6.482142857,1.916351376,69,4.652173913,2.525319356,82,5.634146341,2.105326549,68,6.867647059,2.115362513,70,3.128571429,2.021058903,61,6.360655738,2.394666204
aborsi,abortion ,26,2.884615385,1.032547261,38,5.236842105,2.09805844,36,5.166666667,2.184359991,32,3.75,2.214322878,34,4.058823529,1.841296916,28,4.464285714,2.235772182,30,2.266666667,1.892513988,31,6.032258065,2.08939977,46,5.608695652,2.507573071,36,4.555555556,3.027912477,36,3.805555556,2.69199283,33,4.121212121,2.0730047,56,2.553571429,1.571561388,69,5.594202899,2.116592993,82,5.414634146,2.367220694,68,4.176470588,2.6874011,70,3.928571429,2.305138737,61,4.278688525,2.137998656
abu,ash ,26,3.730769231,1.484794728,38,4.052631579,1.643124387,36,4.472222222,2.14457603,32,5.90625,2.084650121,34,3.617647059,2.146381111,28,4.464285714,2.219144694,30,4,1.485562705,31,3.870967742,1.688035061,46,4.52173913,2.287542402,36,5.944444444,2.365761061,36,2.805555556,2.227355183,33,5.454545455,2.23733811,56,3.875,1.477867013,69,3.971014493,1.653614708,82,4.5,2.212478639,68,5.926470588,2.221443503,70,3.2,2.210646177,61,5,2.265686062
acar,pickles ,26,4.307692308,1.568929081,38,3.421052632,1.764998721,36,4.75,1.857417562,32,6.59375,1.775448603,34,4.058823529,1.722246181,28,4.714285714,1.822841552,30,5.733333333,1.680175141,31,3.580645161,1.910919387,46,5.434782609,2.561702333,36,6.444444444,2.407659734,36,2.5,1.85933936,33,5.454545455,2.078023536,56,5.071428571,1.766940271,69,3.492753623,1.820012835,82,5.134146341,2.292026949,68,6.514705882,2.119508864,70,3.257142857,1.946276373,61,5.114754098,1.984089721
acara,"agenda, program, judicial procedure",26,5.153846154,2.378105257,38,4.210526316,2.094495937,36,4.916666667,1.794833856,32,6.09375,2.130566712,34,4.088235294,1.729733682,28,6.642857143,1.850210913,30,6.2,1.845778034,31,3.870967742,1.978921179,46,5.456521739,2.228168373,36,6.805555556,2.053838837,36,3.972222222,2.645601321,33,7.060606061,2.030076876,56,5.714285714,2.155030358,69,4.057971014,2.035595432,82,5.219512195,2.054951204,68,6.470588235,2.10522157,70,4.028571429,2.232639489,61,6.868852459,1.944868546
adat,"custom, tradition, manners",26,5.884615385,1.925137358,38,5.052631579,2.241468732,36,5.361111111,2.294749009,32,6.125,2.09068595,34,4.558823529,2.017967421,28,5.035714286,1.452511053,30,5.966666667,1.884296875,31,4.258064516,1.769514848,46,5.739130435,2.480455,36,6.277777778,2.119448865,36,5.027777778,2.546550733,33,5.878787879,1.653737732,56,5.928571429,1.886383195,69,4.695652174,2.067282586,82,5.573170732,2.393563838,68,6.205882353,2.091623832,70,4.8,2.300598536,61,5.491803279,1.608549562
aerobik,aerobic ,26,4.884615385,2.084743113,38,4.105263158,1.31085847,36,5.027777778,1.66452243,32,4.71875,2.876314566,34,4,1.414213562,28,4.035714286,2.045449201,30,5.966666667,1.828572711,31,5.032258065,2.008048322,46,5.47826087,2.126438132,36,7.055555556,1.510807626,36,3.666666667,2.317634262,33,5.666666667,2.01038968,56,5.464285714,2.008747106,69,4.52173913,1.711627155,82,5.280487805,1.939036226,68,5.955882353,2.530021671,70,3.828571429,1.925958663,61,4.918032787,2.170215673
agar-agar,jelly,26,5.269230769,2.050515883,38,4.342105263,2.017173776,36,4.75,1.841970994,32,6.75,1.646109784,34,3.941176471,1.841296916,28,4.785714286,1.872948613,30,5.866666667,1.888866351,31,3.967741935,2.373237886,46,5.97826087,2.304479989,36,6.555555556,2.183633204,36,2.861111111,1.929511822,33,6.424242424,1.820547703,56,5.589285714,1.970480197,69,4.173913043,2.17577925,82,5.43902439,2.189185321,68,6.647058824,1.937568147,70,3.385714286,1.950792163,61,5.672131148,2.006001923
agresif,aggressive ,26,4.730769231,2.237099771,38,6.236842105,1.651112819,36,5.472222222,2.535306249,32,5.125,2.028029395,34,5.088235294,1.831833773,28,5.535714286,2.168497395,30,3.766666667,1.75545128,31,6.290322581,1.96966238,46,5.47826087,2.545052983,36,5.666666667,2.461126339,36,4.805555556,2.723647181,33,6.606060606,1.919299904,56,4.214285714,2.033485907,69,6.260869565,1.787638715,82,5.475609756,2.52506257,68,5.411764706,2.267454975,70,4.942857143,2.321204799,61,6.114754098,2.090441426
air,water ,26,5.038461538,2.34061136,38,4.026315789,2.14963029,36,5.222222222,2.3435152,32,6.34375,2.322531642,34,3.294117647,1.624237103,28,6.178571429,2.195172674,30,6.3,2.119694187,31,3.322580645,1.938850119,46,5.543478261,2.257890084,36,6.888888889,1.953425969,36,2.722222222,2.262881994,33,7.363636364,1.746750229,56,5.714285714,2.293978566,69,3.710144928,2.072945115,82,5.402439024,2.287160923,68,6.632352941,2.13642477,70,3,1.985454352,61,6.819672131,2.037221938
