word_croatian,imagine_mean,imagine_sd,frequency_mean,frequency_sd,concrete_mean,concrete_sd,familiar_mean,familiar_sd,aoa_mean,aoa_sd
A,2.3,1.888562063,3.9,1.663329993,2.3,1.888562063,3.4,1.776388346,1.8,2.394437999
AGONIJA,2.931818182,1.108061943,2.209302326,0.860734446,,,,,,
AKO,2.583333333,1.831955405,4.833333333,0.389249472,1.583333333,0.792961461,4.5,1.167748416,5.25,2.41679728
AKVADUKT,3.454545455,1.368476259,2,1.341640786,4.4,1.264911064,3.8,1.032795559,11.625,5.343554194
ALAT,4.7,0.674948558,3.6,1.0749677,4.7,0.674948558,4.8,0.632455532,7.1,2.183269719
ALI,1.695652174,1.132736416,4.391304348,1.157549545,,,,,,
ALKOHOL,4.4,0.966091783,3.9,0.875595036,4.8,0.421637021,5,0,9.3,4.715223572
AMEBA,3.840909091,1.119451315,1.568181818,0.789398572,,,,,,
AMFIBIJA,1.909090909,1.578261414,1.454545455,0.934198733,1.8,1.475729575,1.4,0.966091783,8,9.603240194
AMFORA,3.181818182,1.721521526,1.909090909,1.445997611,3.8,1.751190072,3,1.56347192,11.75,6.088631092
ANANAS,4.857142857,0.448395139,3.071428571,1.412341671,,,,,,
ANTENA,4.962962963,0.19245009,3.259259259,1.558909693,,,,,,
ANĐEO,4.6,0.699205899,3.6,0.699205899,3.4,1.505545305,4.7,0.674948558,3.666666667,1.802775638
ARHEOLOG,3,1.341640786,2.818181818,1.250454463,4,1.414213562,4.4,0.699205899,12.2,3.633180425
ARKADA,3.727272727,1.009049958,2.454545455,1.507556723,4.2,1.229272594,3.5,1.433720878,11.85714286,4.180453382
ASTRONOM,3.933333333,1.250454463,2.340909091,1.098480596,,,,,,
AUTIĆ,4.9,0.316227766,3.8,1.135292424,4.8,0.632455532,4.9,0.316227766,2.111111111,0.927960727
AUTO,4.774193548,0.716922935,4.677419355,0.652538468,3,0,3,0,8.5,0.707106781
AUTOBUS,4.727272727,0.904534034,4.636363636,0.674199862,5,0,5,0,3.666666667,1.5
AVION,4.787878788,0.599873724,3.424242424,1.639937175,3,0,3,0,8.333333333,0.577350269
BABA,4.7,0.483045892,3.9,0.875595036,4.6,0.699205899,4.9,0.316227766,2.5,1.511857892
BACATI,3.545454545,1.572490786,4.181818182,0.750757194,2.888888889,1.364225462,4.777777778,0.440958552,3.555555556,1.878237945
BACITI,3.636363636,1.206045378,4.090909091,1.136181804,2.9,1.370320319,4.8,0.421637021,3.4,1.897366596
BAJKA,3.7,1.33749351,4.2,1.032795559,3.6,0.843274043,4.8,0.632455532,3.4,2.547329757
BAKA,4.727272727,0.904534034,4.909090909,0.301511345,4.7,0.674948558,5,0,1.625,0.51754917
BAL,4,1.333333333,2.5,1.58113883,4.2,1.135292424,4.4,0.843274043,5.222222222,2.279132389
BALA,3.909090909,1.700267359,2.363636364,1.120064933,4.363636364,1.206045378,3.636363636,1.361816968,7,3.640054945
BALKON,4.75,0.866025404,4.75,0.452267017,5,0,5,0,4.454545455,1.634847783
BALON,4.666666667,1.154700538,4.25,0.965307299,5,0,5,0,3.5,2.013840996
BANANA,4.75,0.866025404,4.75,0.621581561,5,0,5,0,3.2,1.619327707
