"name","output","status","pilot_file","lower_target","upper_target","start_sample_size","stop_sample_size","lower_hit_sample_size","upper_hit_sample_size","max_percent_below"
"zechmeister","zechmeister.rds","ready","simulations/pilot/zechmeister.rds",70,95,60,80,60,80,100
"gilhooly","gilhooly.rds","ready","simulations/pilot/gilhooly.rds",70,95,60,80,60,80,100
"surprenant","surprenant.rds","ready","simulations/pilot/surprenant.rds",70,95,80,110,80,110,100
"barca","barca.rds","ready","simulations/pilot/barca.rds",70,95,90,150,90,150,100
"morrow","morrow_old.rds","ready","simulations/pilot/morrow_old.rds",70,95,70,100,70,100,100
"morrow","morrow_young.rds","ready","simulations/pilot/morrow_young.rds",70,95,70,100,70,100,100
"dedeyne","dedeyne.rds","ready","simulations/pilot/dedeyne.rds",70,95,40,60,40,60,100
"ferrand","ferrand.rds","ready","simulations/pilot/ferrand.rds",70,95,40,60,40,60,100
"janschewitz","janschewitz.rds","ready","simulations/pilot/janschewitz.rds",70,95,260,300,260,300,100
"desrochers","desrochers.rds","ready","simulations/pilot/desrochers.rds",70,95,80,110,80,110,100
"dellarosa","dellarosa.rds","ready","simulations/pilot/dellarosa.rds",70,95,40,50,40,50,100
"desrochers10","desrochers10.rds","ready","simulations/pilot/desrochers10.rds",70,95,130,160,130,160,100
"eilola","eilola_finnish.rds","ready","simulations/pilot/eilola_finnish.rds",70,95,180,220,180,220,100
"eilola","eilola_english.rds","ready","simulations/pilot/eilola_english.rds",70,95,90,110,90,110,100
"schroder","schroder.rds","ready","simulations/pilot/schroder.rds",70,95,30,40,30,40,100
"ferre","ferre.rds","ready","simulations/pilot/ferre.rds",70,95,40,50,40,50,100
"montefinese14","montefinese14.rds","ready","simulations/pilot/montefinese14.rds",70,95,30,50,30,50,100
"moreno","moreno.rds","ready","simulations/pilot/moreno.rds",70,95,30,40,30,40,100
"guasch","guasch.rds","ready","simulations/pilot/guasch.rds",70,95,30,50,30,50,100
"hinojosa","hinojosa.rds","ready","simulations/pilot/hinojosa.rds",70,95,40,60,40,60,100
"sianipar","sianipar.rds","ready","simulations/pilot/sianipar.rds",70,95,80,90,80,90,100
"soares","soares.rds","ready","simulations/pilot/soares.rds",70,95,60,80,60,80,100
"yee","yee.rds","ready","simulations/pilot/yee.rds",70,95,50,90,50,90,100
"chedid","chedid.rds","ready","simulations/pilot/chedid.rds",70,95,60,140,60,140,100
"bonin","bonin.rds","ready","simulations/pilot/bonin.rds",70,95,40,60,40,60,100
"yao","yao.rds","ready","simulations/pilot/yao.rds",70,95,90,140,90,140,100
"mikla","mikla.rds","ready","simulations/pilot/mikla.rds",70,95,30,50,30,50,100
"scott","scott.rds","ready","simulations/pilot/scott.rds",70,95,40,60,40,60,100
"verheyen","verheyen.rds","ready","simulations/pilot/verheyen.rds",70,95,20,40,20,40,100
"lima","lima.rds","ready","simulations/pilot/lima.rds",70,95,30,60,30,60,100
"liu","liu.rds","ready","simulations/pilot/liu.rds",70,95,30,60,30,60,100
"petit","petit.rds","ready","simulations/pilot/petit.rds",70,95,30,40,30,40,100
"ballot","ballot.rds","ready","simulations/pilot/ballot.rds",70,95,190,240,190,240,100
"sarli","sarli.rds","ready","simulations/pilot/sarli.rds",70,95,30,50,30,50,100
"raslescu","raslescu.rds","ready","simulations/pilot/raslescu.rds",70,95,240,280,240,280,100
"su","su.rds","ready","simulations/pilot/su.rds",70,95,40,60,40,60,100
"chan","chan.rds","ready","simulations/pilot/chan.rds",70,95,30,50,30,50,100
"conca","conca.rds","ready","simulations/pilot/conca.rds",70,95,20,40,20,40,100
"falcinelli","falcinelli.rds","ready","simulations/pilot/falcinelli.rds",70,95,30,50,30,50,100
"falcinelli","falcinelli_freq.rds","ready","simulations/pilot/falcinelli_freq.rds",70,95,30,50,30,50,100
"mahjou","mahjou.rds","ready","simulations/pilot/mahjou.rds",70,95,70,90,70,90,100
"borsa","borsa.rds","ready","simulations/pilot/borsa.rds",70,95,30,50,30,50,100
"kraljevic","kraljevic.rds","ready","simulations/pilot/kraljevic.rds",70,95,60,120,60,120,100
